NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1986 07 11    7.11
1986 07 12    6.73
1986 07 13    6.63
1986 07 14    7.22
1986 07 15    7.03
1986 07 16    6.45
1986 07 17    7.17
1986 07 18    6.43
1986 07 19    6.73
1986 07 20    6.65
1986 07 21    7.27
1986 07 22    7.39
1986 07 23    7.41
1986 07 24    7.06
1986 07 25    7.15
1986 07 26    7.37
1986 07 27    6.77
1986 07 28    6.65
1986 07 29    7.02
1986 07 30    6.35
1986 07 31    7.31
1986 08 01    7.18
1986 08 02    6.73
1986 08 03    6.08
1986 08 04    6.52
1986 08 05    5.38
1986 08 06    6.90
1986 08 07    6.98
1986 08 08    6.97
1986 08 09    7.21
1986 08 10    7.02
1986 08 11    6.83
1986 08 12    6.41
1986 08 13    6.87
1986 08 14    6.78
1986 08 15    6.59
1986 08 16    6.36
1986 08 17    6.63
1986 08 18    6.30
1986 08 19    5.59
1986 08 20    5.96
1986 08 21    5.58
1986 08 22    4.69
1986 08 23    4.39
1986 08 24    5.23
1986 08 25    5.67
1986 08 26    6.93
1986 08 27    6.23
1986 08 28    5.78
1986 08 29    5.77
1986 08 30    5.58
1986 08 31    6.11
